DG_20131107.mat runs from 2013-10-10 11:45:28 to 2013-11-06 15:55:43
DG_E_20131010_78_1_001_NNE05.mat runs from 2013-10-10 11:45:28 to 2013-10-10 11:58:42
DG_E_20131010_78_1_002_NNE05.mat runs from 2013-10-10 12:06:09 to 2013-10-10 12:32:55
DG_E_20131010_78_1_003_NNE05.mat runs from 2013-10-10 12:41:02 to 2013-10-10 13:06:21
DG_E_20131010_78_1_004_NNE05.mat runs from 2013-10-10 19:29:04 to 2013-10-10 19:45:53
DG_E_20131010_78_1_005_NNE05.mat runs from 2013-10-10 19:51:10 to 2013-10-10 20:08:56
DG_E_20131010_78_1_006_NNE05.mat runs from 2013-10-10 20:15:16 to 2013-10-10 20:29:42
DG_E_20131010_78_2_001_NNE05.mat runs from 2013-10-10 11:46:11 to 2013-10-10 11:57:26
DG_E_20131010_78_2_002_NNE05.mat runs from 2013-10-10 12:05:28 to 2013-10-10 12:31:48
DG_E_20131010_78_2_003_NNE05.mat runs from 2013-10-10 12:43:10 to 2013-10-10 13:07:39
DG_E_20131010_78_2_004_NNE05.mat runs from 2013-10-10 19:28:08 to 2013-10-10 19:44:46
DG_E_20131010_78_2_005_NNE05.mat runs from 2013-10-10 19:49:02 to 2013-10-10 20:10:12
DG_E_20131010_78_2_006_NNE05.mat runs from 2013-10-10 20:14:15 to 2013-10-10 20:34:17
DG_E_20131010_H_001_NNE05.mat runs from 2013-10-10 11:45:00 to 2013-10-10 11:54:29
DG_E_20131010_H_002_NNE05.mat runs from 2013-10-10 12:06:49 to 2013-10-10 12:32:36
DG_E_20131010_H_003_NNE05.mat runs from 2013-10-10 12:40:21 to 2013-10-10 12:50:50
DG_E_20131010_H_004_NNE05.mat runs from 2013-10-10 19:27:24 to 2013-10-10 19:41:41
DG_E_20131010_H_005_NNE05.mat runs from 2013-10-10 19:50:33 to 2013-10-10 20:08:15
DG_E_20131010_H_006_NNE05.mat runs from 2013-10-10 20:13:45 to 2013-10-10 20:34:41
DG_E_20131105_78_1_001_S5.mat runs from 2013-11-05 17:11:28 to 2013-11-05 17:20:39
