,,alpha,beta,date,depth,diff,err_dir,err_mag,err_u,err_v,filename,lat,lon,mat_times,mean_diff,num,obs_speed,sdev_diff,sim_speed,start,stop,tide,u_diff,u_obs_speed,u_sim_speed,uobs,usim,vobs,vsim,wind_speed
DG_E_20131106_78_3_006_SW10,0,0.744303515755,0.923913043478,2013_Nov_06_3D,-33.9950606361,-0.617096799934,69.739165656,0.725281696401,-0.251161032066,-0.680405522542,DG_E_20131106_78_3_006_SW10,44.6817478538,-65.7646316383,735544.842708,-0.390326143082,13,2.5516498588,0.284109817379,1.93455305887,256,263,ebb,-0.617096799934,2.5516498588,1.93455305887,-0.304632802346,-0.555793834412,2.53340005875,1.8529945362,SW10
DG_E_20131106_78_3_006_SW10,1,0.745015576223,0.923913043478,2013_Nov_06_3D,-33.3007206269,-0.871020602213,88.9573975548,0.924153689047,-0.0168157538028,-0.924000687989,DG_E_20131106_78_3_006_SW10,44.682505494,-65.7648913516,735544.843056,,13,3.00280244611,,2.1317818439,256,263,ebb,-0.871020602213,3.00280244611,2.1317818439,-0.791372691713,-0.808188445516,2.89664492011,1.97264423212,SW10
DG_E_20131106_78_3_006_SW10,2,0.745683132925,0.923913043478,2013_Nov_06_3D,-31.0714751885,0.184769469575,-16.4213385571,0.30754158338,-0.294996579651,0.0869416097279,DG_E_20131106_78_3_006_SW10,44.6830830909,-65.7651739055,735544.843403,,13,2.01703775672,,2.2018072263,256,263,ebb,0.184769469575,2.01703775672,2.2018072263,-0.592695813899,-0.887692393551,1.92799195647,2.0149335662,SW10
DG_E_20131106_78_3_006_SW10,3,0.746306185862,0.923913043478,2013_Nov_06_3D,-41.2596377025,-0.48970016499,66.1149669588,0.680830607171,-0.27567018449,-0.622524108002,DG_E_20131106_78_3_006_SW10,44.6836510068,-65.7653579721,735544.84375,,13,2.45565096807,,1.96595080308,256,263,ebb,-0.48970016499,2.45565096807,1.96595080308,-0.605934473058,-0.881604657548,2.37971954048,1.75719543247,SW10
DG_E_20131106_78_3_006_SW10,4,0.746973742789,0.923913043478,2013_Nov_06_3D,-44.6789475504,-0.327145243725,-86.0966070923,0.351374935125,0.0239196276323,-0.350559832908,DG_E_20131106_78_3_006_SW10,44.6842287295,-65.7656966848,735544.844097,,13,2.19483637803,,1.86769113431,256,263,ebb,-0.327145243725,2.19483637803,1.86769113431,-0.877437344552,-0.85351771692,2.01181769371,1.6612578608,SW10
DG_E_20131106_78_3_006_SW10,5,0.747641299491,0.923913043478,2013_Nov_06_3D,-45.6020925482,-0.409461746731,-47.4183366082,0.420384500276,0.284449119097,-0.309534855416,DG_E_20131106_78_3_006_SW10,44.6847296739,-65.7660992676,735544.844444,,13,2.31333036798,,1.90386862125,256,263,ebb,-0.409461746731,2.31333036798,1.90386862125,-1.18204688028,-0.897597761179,1.9885327667,1.67899791128,SW10
DG_E_20131106_78_3_006_SW10,6,0.748353359959,0.923913043478,2013_Nov_06_3D,-47.855887788,-0.314801094702,-45.482664701,0.323827189919,0.227043348855,-0.230901205437,DG_E_20131106_78_3_006_SW10,44.6852782276,-65.766551597,735544.844792,,13,2.17453395525,,1.85973286055,256,263,ebb,-0.314801094702,2.17453395525,1.85973286055,-1.15223646809,-0.925193119231,1.84416621923,1.6132650138,SW10
DG_E_20131106_78_3_006_SW10,7,0.749020916661,0.923913043478,2013_Nov_06_3D,-47.324588284,-0.278152961936,86.0824737332,0.330699742331,-0.0225935618849,-0.329927038206,DG_E_20131106_78_3_006_SW10,44.6857874701,-65.7669293694,735544.845139,,13,2.18894666864,,1.9107937067,256,263,ebb,-0.278152961936,2.18894666864,1.9107937067,-0.97343259666,-0.996026158544,1.96059085429,1.63066381608,SW10
DG_E_20131106_78_2_003_SW10,0,0.639541610972,0.923913043478,2013_Nov_06_3D,-55.4622040419,-0.0843658013581,-48.1808162022,0.0978816175525,0.0652657039922,-0.0729465484934,DG_E_20131106_78_2_003_SW10,44.6800741972,-65.7608778449,735544.788194,-0.165433392862,34,1.47299124912,0.139837615635,1.38862544776,626,646,ebb,-0.0843658013581,1.47299124912,1.38862544776,-0.314575567778,-0.249309863785,1.43900848925,1.36606194076,SW10
DG_E_20131106_78_2_003_SW10,1,0.640209167674,0.923913043478,2013_Nov_06_3D,-51.7966171232,-0.242916740384,-59.3134947381,0.255376952631,0.130329172275,-0.219617155043,DG_E_20131106_78_2_003_SW10,44.6805238444,-65.7609814452,735544.788542,,34,1.69973984313,,1.45682310274,626,646,ebb,-0.242916740384,1.69973984313,1.45682310274,-0.413912008488,-0.283582836213,1.64857283235,1.4289556773,SW10
