,,alpha,beta,date,depth,diff,err_dir,err_mag,err_u,err_v,filename,lat,lon,mat_times,mean_diff,num,obs_speed,sdev_diff,sim_speed,start,stop,tide,u_diff,u_obs_speed,u_sim_speed,uobs,usim,vobs,vsim,wind_speed
DG_F_20131010_78_1_004_NNE05,0,0.24300575485,0.827586206897,2013_Oct_10_3D,-31.997146196,-0.12039096321,60.8079747836,0.207273920567,0.101095399738,0.180948054146,DG_F_20131010_78_1_004_NNE05,44.6810980048,-65.7645446341,735517.666667,0.121642570683,14,-1.54822462316,0.200844566578,-1.42783365995,182,186,flood,0.12039096321,1.54822462316,1.42783365995,0.582782332576,0.683877732314,-1.43435150385,-1.2534034497,NNE05
DG_F_20131010_78_1_004_NNE05,1,0.244378043376,0.827586206897,2013_Oct_10_3D,-28.3379133582,-0.0184533452805,38.9175205033,0.189096891358,0.147127041874,0.11879085769,DG_F_20131010_78_1_004_NNE05,44.6803052025,-65.7639149856,735517.667361,,14,-1.62931045751,,-1.61085711223,182,186,flood,0.0184533452805,1.62931045751,1.61085711223,0.814581906676,0.96170894855,-1.41106657684,-1.29227571915,NNE05
DG_F_20131010_78_1_004_NNE05,2,0.24566179741,0.827586206897,2013_Oct_10_3D,-23.1796367115,0.0903500057708,15.4998843585,0.648202353834,0.624627877618,0.173223283708,DG_F_20131010_78_1_004_NNE05,44.6796521265,-65.7634992851,735517.668056,,14,-1.63019861595,,-1.72054862172,182,186,flood,-0.0903500057708,1.63019861595,1.72054862172,0.347691318242,0.97231919586,-1.59268900752,-1.41946572381,NNE05
DG_F_20131010_78_1_004_NNE05,3,0.246989818579,0.827586206897,2013_Oct_10_3D,-37.2872861944,0.192251600389,77.9243785307,0.354567623718,-0.074176437282,-0.34672187116,DG_F_20131010_78_1_004_NNE05,44.6791193727,-65.7629000209,735517.66875,,14,-1.12889651002,,-1.32114811041,182,186,flood,-0.192251600389,1.12889651002,1.32114811041,0.894071610558,0.819895173276,-0.689233839512,-1.03595571067,NNE05
DG_F_20131010_78_1_004_NNE05,4,0.248362107106,0.827586206897,2013_Oct_10_3D,-45.4303747193,0.464455555745,-59.6224994429,0.474087090129,0.239743482977,-0.409000771878,DG_F_20131010_78_1_004_NNE05,44.6786626847,-65.762296482,735517.669444,,14,-0.909656037068,,-1.37411159281,182,186,flood,-0.464455555745,0.909656037068,1.37411159281,0.639100670017,0.878844152994,-0.647320970893,-1.05632174277,NNE05
DG_F_20131010_78_2_004_NNE05,0,0.240371846079,0.827586206897,2013_Oct_10_3D,-7.24361027342,-0.124950013461,-55.4021362265,0.125192388736,-0.0710858726717,0.103053058683,DG_F_20131010_78_2_004_NNE05,44.6817376697,-65.7667130744,735517.665278,0.13139819639,37,-2.17087382056,0.317147228219,-2.0459238071,583,589,flood,0.124950013461,2.17087382056,2.0459238071,1.12250584944,1.05141997677,-1.85813717544,-1.75508411676,NNE05
DG_F_20131010_78_2_004_NNE05,1,0.241699867248,0.827586206897,2013_Oct_10_3D,-24.2282395129,-0.486401070078,-62.8969865867,0.48729123955,-0.222005857106,0.433781225449,DG_F_20131010_78_2_004_NNE05,44.6807791991,-65.7658446254,735517.665972,,37,-1.92159930036,,-1.43519823028,583,589,flood,0.486401070078,1.92159930036,1.43519823028,0.963582908881,0.741577051775,-1.66254378855,-1.2287625631,NNE05
DG_F_20131010_78_2_004_NNE05,2,0.243027888417,0.827586206897,2013_Oct_10_3D,-18.4245357381,0.476799194942,-78.1383098975,0.490738835544,0.100871306364,-0.480259913238,DG_F_20131010_78_2_004_NNE05,44.6800806513,-65.7652099477,735517.666667,,37,-0.898657242938,,-1.37545643788,583,589,flood,-0.476799194942,0.898657242938,1.37545643788,0.433783103036,0.5346544094,-0.787030532956,-1.26729044619,NNE05
DG_F_20131010_78_2_004_NNE05,3,0.244355909809,0.827586206897,2013_Oct_10_3D,-12.6478756355,0.468757135537,-76.0476275024,0.478908144473,0.115472055668,-0.464778673352,DG_F_20131010_78_2_004_NNE05,44.679562021,-65.7646907307,735517.667361,,37,-1.23267967746,,-1.70143681299,583,589,flood,-0.468757135537,1.23267967746,1.70143681299,0.576175080552,0.69164713622,-1.08973458409,-1.55451325745,NNE05
DG_F_20131010_78_2_004_NNE05,4,0.245683930978,0.827586206897,2013_Oct_10_3D,-14.1913003477,0.136590551707,-43.1458282954,0.142004206913,0.103608473754,-0.0971106531106,DG_F_20131010_78_2_004_NNE05,44.6789136808,-65.7640915504,735517.668056,,37,-1.46622710551,,-1.60281765722,583,589,flood,-0.136590551707,1.46622710551,1.60281765722,0.738439544251,0.842048018004,-1.26670002937,-1.36381068248,NNE05
DG_F_20131010_78_2_004_NNE05,5,0.247011952147,0.827586206897,2013_Oct_10_3D,-20.7810323589,0.168764177138,-83.5444449364,0.198907261862,0.0223636319055,-0.197646064442,DG_F_20131010_78_2_004_NNE05,44.6784285363,-65.7635375066,735517.66875,,37,-1.14688323182,,-1.31564740896,583,589,flood,-0.168764177138,1.14688323182,1.31564740896,0.751691390443,0.774055022348,-0.866199284792,-1.06384534923,NNE05
DG_F_20131010_78_2_004_NNE05,6,0.248339973539,0.827586206897,2013_Oct_10_3D,-23.6880962293,0.280227398943,77.5415430223,0.487658931276,-0.105203481225,-0.476175871702,DG_F_20131010_78_2_004_NNE05,44.6780736465,-65.7629915094,735517.669444,,37,-1.11011302238,,-1.39034042132,583,589,flood,-0.280227398943,1.11011302238,1.39034042132,0.877530566184,0.772327084959,-0.679919868708,-1.15609574041,NNE05
DG_F_20131010_H_011_NNE05,0,0.424966799493,0.827586206897,2013_Oct_10_3D,-21.3184639399,-0.00993061931699,88.8319085717,0.410996057577,0.00837841321937,0.41091064909,DG_F_20131010_H_011_NNE05,44.673783998,-65.7643926702,735517.761806,0.111324339778,16,-0.216159259468,0.0807805525308,0.206228640151,198,201,flood,0.422387899618,0.216159259468,0.206228640151,-0.0529868998607,-0.0446084866413,-0.209564343095,0.201346305995,NNE05
DG_F_20131010_H_011_NNE05,1,0.426294820662,0.827586206897,2013_Oct_10_3D,-20.3148479507,0.0859606363287,89.0419784332,0.288276084427,0.0048199333321,0.288235787326,DG_F_20131010_H_011_NNE05,44.6736736083,-65.7644260721,735517.7625,,16,-0.109689698671,,0.195650334999,198,201,flood,0.30534003367,0.109689698671,0.195650334999,-0.0496753132431,-0.044855379911,-0.0977966934443,0.190439093881,NNE05
DG_F_20131010_H_011_NNE05,2,0.427622842054,0.827586206897,2013_Oct_10_3D,-19.3279945196,0.186556170415,-76.7146887614,0.186556170415,-0.0428706524437,0.181563520232,DG_F_20131010_H_011_NNE05,44.6736103669,-65.764465509,735517.763194,,16,0.0,,0.186556170415,198,201,flood,0.186556170415,0.0,0.186556170415,0.0,-0.0428706524437,0.0,0.181563520232,NNE05
