,,alpha,beta,date,depth,diff,err_dir,err_mag,err_u,err_v,filename,lat,lon,mat_times,mean_diff,num,obs_speed,sdev_diff,sim_speed,start,stop,tide,u_diff,u_obs_speed,u_sim_speed,uobs,usim,vobs,vsim,wind_speed
GP_F_20130801_78_2_010_SE15,0,0.244053934585,0.650793650794,2013_Aug_02_3D,-35.6176798802,-0.190039913133,48.4305641486,0.234549018115,-0.155629655372,-0.175478352704,GP_F_20130801_78_2_010_SE15,44.2566013802,-66.3332887413,735447.838889,0.0795540406339,9,1.33814222136,0.224585091531,1.14810230823,63,95,flood,-0.190039913133,1.33814222136,1.14810230823,0.20346142926,0.0478317738885,1.3225838542,1.14710550149,SE15
GP_F_20130801_78_2_010_SE15,1,0.245380194452,0.650793650794,2013_Aug_02_3D,-36.1458706412,0.08492149295,-86.384310349,0.0849412760341,-0.0053567207382,0.0847722001438,GP_F_20130801_78_2_010_SE15,44.2572106607,-66.3332940638,735447.839583,,9,1.14656967351,,1.23149116646,63,95,flood,0.08492149295,1.14656967351,1.23149116646,-0.0466955818868,-0.052052302625,1.14561840892,1.23039060906,SE15
GP_F_20130801_78_2_010_SE15,2,0.246662245895,0.650793650794,2013_Aug_02_3D,-32.3800520834,0.11209103304,-70.9833778942,0.114743088065,-0.0373881684302,0.108480879053,GP_F_20130801_78_2_010_SE15,44.2578328075,-66.333347708,735447.840278,,9,1.25055210022,,1.36264313326,63,95,flood,0.11209103304,1.25055210022,1.36264313326,-0.133414536625,-0.170802705056,1.24341510236,1.35189598142,SE15
GP_F_20130801_78_2_010_SE15,3,0.248032714411,0.650793650794,2013_Aug_02_3D,-22.6820107115,0.0773938798165,-71.6631537297,0.0781261504229,-0.0245787178503,0.0741591667209,GP_F_20130801_78_2_010_SE15,44.2586346203,-66.3335342892,735447.840972,,9,1.60456422323,,1.68195810304,63,95,flood,0.0773938798165,1.60456422323,1.68195810304,-0.286837342249,-0.3114160601,1.57871805131,1.65287721804,SE15
GP_F_20130801_78_2_010_SE15,4,0.249358974279,0.650793650794,2013_Aug_02_3D,-18.8191937532,0.058995307076,71.6609966341,0.0647597845437,0.0203759339266,0.0614707329611,GP_F_20130801_78_2_010_SE15,44.2595491279,-66.3337578345,735447.841667,,9,1.84646782488,,1.90546313195,63,95,flood,0.058995307076,1.84646782488,1.90546313195,-0.206786495551,-0.186410561624,1.83485224843,1.89632298139,SE15
GP_F_20130801_78_2_010_SE15,5,0.250641025721,0.650793650794,2013_Aug_02_3D,-14.8143909175,0.0903911435462,-46.8258745468,0.111719620238,-0.0764405568867,0.0814746267799,GP_F_20130801_78_2_010_SE15,44.2605835386,-66.3339576172,735447.842361,,9,2.09898311456,,2.1893742581,63,95,flood,0.0903911435462,2.09898311456,2.1893742581,-0.230129309139,-0.306569866026,2.08632946014,2.16780408692,SE15
GP_F_20130801_78_2_010_SE15,6,0.252011494237,0.650793650794,2013_Aug_02_3D,-13.5875494829,-0.0806988688032,-24.607595185,0.126496155533,0.11500789087,-0.0526731658653,GP_F_20130801_78_2_010_SE15,44.2617693264,-66.3342691306,735447.843056,,9,2.26077854755,,2.18007967875,63,95,flood,-0.0806988688032,2.26077854755,2.18007967875,-0.633676621273,-0.518668730403,2.17015519738,2.11748203152,SE15
GP_F_20130801_78_2_010_SE15,7,0.253293545457,0.650793650794,2013_Aug_02_3D,-19.9182497678,-0.151692365601,-73.6793988786,0.153384410912,0.0431028287679,-0.147203680875,GP_F_20130801_78_2_010_SE15,44.2627645517,-66.3345650537,735447.84375,,9,1.90532698106,,1.75363461546,63,95,flood,-0.151692365601,1.90532698106,1.75363461546,-0.270141775986,-0.227038947218,1.88607908785,1.73887540698,SE15
GP_F_20130801_78_2_010_SE15,8,0.254619805548,0.650793650794,2013_Aug_02_3D,-17.9163843382,-0.0829535480346,-27.3553889725,0.139503308843,0.123903132566,-0.0641029400137,GP_F_20130801_78_2_010_SE15,44.2638022732,-66.334867808,735447.844444,,9,1.89666610988,,1.81371256185,63,95,flood,-0.0829535480346,1.89666610988,1.81371256185,-0.356847651941,-0.232944519375,1.86279416084,1.79869122083,SE15
GP_F_20130801_78_2_010_SE15,9,0.255990274063,0.650793650794,2013_Aug_02_3D,-14.6434063901,-0.156668906467,70.4967263207,0.17880891094,-0.0596972713748,-0.168549287812,GP_F_20130801_78_2_010_SE15,44.2648691637,-66.3351668743,735447.845139,,9,2.10272621804,,1.94605731157,63,95,flood,-0.156668906467,2.10272621804,1.94605731157,-0.296811819047,-0.356509090422,2.08167247474,1.91312318693,SE15
GP_F_20130801_78_2_010_SE15,10,0.257272325506,0.650793650794,2013_Aug_02_3D,-12.9405831961,0.0560720199674,-62.9598509332,0.0582490874623,-0.0264808941169,0.051881773649,GP_F_20130801_78_2_010_SE15,44.2659217631,-66.335484758,735447.845833,,9,1.94098378969,,1.99705580966,63,95,flood,0.0560720199674,1.94098378969,1.99705580966,-0.37350930882,-0.399990202937,1.90470702946,1.95658880311,SE15
GP_F_20130801_78_2_010_SE15,11,0.258598585374,0.650793650794,2013_Aug_02_3D,-11.0550882007,-0.0314507817255,25.7984540639,0.160617169432,-0.144608538766,-0.0699016854749,GP_F_20130801_78_2_010_SE15,44.267033916,-66.3358202437,735447.846528,,9,2.18411524765,,2.15266446592,63,95,flood,-0.0314507817255,2.18411524765,2.15266446592,-0.470212644071,-0.614821182838,2.13289931417,2.06299762869,SE15
GP_F_20130801_78_2_010_SE15,12,0.259969053889,0.650793650794,2013_Aug_02_3D,-10.5896951124,0.151835250311,-83.8411198436,0.156353531909,-0.016774521417,0.155451093182,GP_F_20130801_78_2_010_SE15,44.2681777943,-66.3363452023,735447.847222,,9,2.12739944553,,2.27923469584,63,95,flood,0.151835250311,2.12739944553,2.27923469584,-0.743655170739,-0.760429692156,1.9931897521,2.14864084528,SE15
GP_F_20130801_78_2_010_SE15,13,0.261251105332,0.650793650794,2013_Aug_02_3D,-11.9052545217,0.242707214664,-55.6399088873,0.252733619925,-0.142640868761,0.208633327154,GP_F_20130801_78_2_010_SE15,44.2691979557,-66.3368979469,735447.847917,,9,2.00839795316,,2.25110516783,63,95,flood,0.242707214664,2.00839795316,2.25110516783,-0.593579923497,-0.736220792257,1.91867798567,2.12731131282,SE15
GP_F_20130801_78_2_010_SE15,14,0.2625773652,0.650793650794,2013_Aug_02_3D,-16.014964833,0.311877499,-71.7201886229,0.312157046135,-0.0979105232102,0.296404370576,GP_F_20130801_78_2_010_SE15,44.2702066759,-66.3374038786,735447.848611,,9,1.75555259624,,2.06743009524,63,95,flood,0.311877499,1.75555259624,2.06743009524,-0.473521924529,-0.571432447739,1.69048570096,1.98689007154,SE15
