DG_F_20131010_H_006_NNE05.mat 325 345
DG_F_20131010_78_2_006_NNE05.mat 324 353
DG_F_20131010_78_2_009_NNE05.mat 394 399
DG_E_20131010_78_2_002_NNE05.mat 35 62
DG_F_20131010_H_007_NNE05.mat 349 353
DG_F_20131010_78_2_010_NNE05.mat 416 425
DG_E_20131010_H_003_NNE05.mat 70 81
DG_F_20131010_H_009_NNE05.mat 372 390
DG_F_20131010_H_012_NNE05.mat 415 426
DG_E_20131010_78_2_006_NNE05.mat 524 544
DG_F_20131010_H_010_NNE05.mat 393 402
DG_E_20131010_78_1_001_NNE05.mat 15 29
DG_F_20131010_78_1_010_NNE05.mat 416 424
DG_F_20131010_78_1_004_NNE05.mat 269 274
DG_F_20131010_78_1_003_NNE05.mat 245 256
DG_F_20131010_H_011_NNE05.mat 407 410
DG_F_20131010_78_2_005_NNE05.mat 282 303
DG_F_20131010_78_1_005_NNE05.mat 284 293
DG_E_20131010_78_2_001_NNE05.mat 16 27
DG_E_20131010_78_1_002_NNE05.mat 36 63
DG_E_20131010_78_2_004_NNE05.mat 478 495
DG_E_20131010_78_1_004_NNE05.mat 479 496
DG_F_20131010_H_002_NNE05.mat 205 240
DG_E_20131010_H_004_NNE05.mat 477 492
DG_F_20131010_78_2_002_NNE05.mat 206 234
DG_F_20131010_78_1_008_NNE05.mat 374 389
DG_E_20131010_78_2_003_NNE05.mat 73 98
DG_E_20131010_H_006_NNE05.mat 524 545
DG_E_20131010_H_005_NNE05.mat 501 518
DG_F_20131010_78_1_001_NNE05.mat 169 192
DG_F_20131010_78_1_002_NNE05.mat 207 233
DG_F_20131010_H_003_NNE05.mat 243 253
DG_E_20131010_H_001_NNE05.mat 15 24
DG_E_20131010_H_002_NNE05.mat 37 63
DG_F_20131010_H_001_NNE05.mat 166 186
DG_F_20131010_H_004_NNE05.mat 267 279
DG_F_20131010_78_2_004_NNE05.mat 268 275
DG_F_20131010_H_005_NNE05.mat 283 301
DG_F_20131010_78_1_006_NNE05.mat 326 343
DG_E_20131010_78_1_003_NNE05.mat 71 96
DG_F_20131010_78_1_009_NNE05.mat 394 398
DG_F_20131010_78_2_001_NNE05.mat 167 198
DG_F_20131010_78_2_003_NNE05.mat 246 256
DG_F_20131010_78_2_007_NNE05.mat 362 367
DG_F_20131010_H_008_NNE05.mat 362 368
DG_F_20131010_78_2_008_NNE05.mat 373 390
DG_F_20131010_78_1_007_NNE05.mat 350 353
DG_E_20131010_78_2_005_NNE05.mat 499 520
DG_E_20131010_78_1_006_NNE05.mat 525 540
DG_E_20131010_78_1_005_NNE05.mat 501 519
