-66.3379748957 44.273401564
-66.3366506808 44.2617404927
-66.3405061048 44.2608837783
-66.3425600901 44.2698490201
-66.3370369188 44.2752965447
-66.3409153931 44.2706971848
-66.3400318567 44.2742830887
-66.3377969898 44.2760333978
-66.3389196619 44.2610468483
-66.3345953962 44.2558169598
-66.3374141883 44.2560070194
-66.3382311724 44.2746131262
-66.3367877668 44.2731188424
-66.3333420502 44.2574349185
-66.3367360923 44.2557242559
-66.3402926596 44.2554247705
-66.3391428301 44.2540961551
-66.3348153792 44.2564849136
-66.3419143902 44.2712011049
